website,server,server_version,os,jquery_version,http_only,x_xss_protection,strict_transport_security,cms,cms_version,x_powered_by,x_powered_by_version,x_frame_options,content_security_policy,country,ip
mysarafi.ir,,,,,False,0,,"WordPress","5.2.6",,,,False,"NL","178.22.122.115"
bhcinc.com,"apache",,,"1.12.4",False,0,,"WordPress",,,,,False,"US","208.40.251.4"
www.unilab.com.br,"apache",,,,False,0,,"WordPress",,,,,False,"US","67.225.196.200"
dallasbutterflies.com,"apache",,,,False,0,,,,,,,False,"US","50.63.71.1"
www.xn--mttmestari-q5a2t.fi,"nginx",,,,False,0,,,,"STORM",,,False,"RO","93.113.111.242"
e-forex.nl,"IMU",,,"3.1.1",False,0,,"WordPress",,,,,False,"NL","87.250.153.245"
iaokco.com,"nginx",,,,False,0,"max-age=15768000; includeSubDomains",,,,,,False,"IR","185.10.75.12"
superhomeincome.com,"apache",,,"2.2.4",False,0,,,,,,,False,"GB","51.89.168.184"
vivocell.com,"nginx",,,,False,0,,,,,,,False,"FR","87.98.154.146"
levo.no,"apache",,,,False,0,,,,,,,False,"NO","109.109.80.99"
www.suzukigsxr.org,"apache","2.2.15","CentOS",,False,0,,,,"PHP","5.3.3",,False,"UA","217.12.204.122"
thesoftshub.com,"cloudflare",,,"1.12.4",True,0,,"WordPress","4.9.4","PHP","7.2.30",,False,"US","104.27.174.202"
excellialeadership.com,"apache",,,"1.12.4",False,0,,"WordPress","5.0.8",,,,False,"US","54.36.91.62"
oxlv.com,"apache","2",,,False,0,,,,,,,False,"US","66.96.149.32"
ztvlph.ga,"nginx",,,,False,0,,,,,,,False,,"45.88.183.134"
vlavashe.ru,"nginx",,,"1.10.2",False,0,,,,,,"SAMEORIGIN",False,,"185.165.123.206"
concrete5-japan.org,"cloudflare",,,,True,0,,"Concrete5",,"PHP","5.6.40",,False,"US","104.31.68.169"
citizenmediaseries.org,"nginx",,,,False,0,,"WordPress","5.4.1",,,,False,,"185.123.97.136"
maxgentechnologies.com,"apache","2.4.39",,"3.4.1",False,0,,,,"PHP","7.3.3",,False,"ZZ","207.174.213.126"
shop.goldpeaktools.com.ph,"cloudflare",,,,True,"1  mode=block","max-age=7889238","Shopify",,,,,False,"CA","23.227.38.64"
www.leodisgames.com,"nginx","1.14.2",,,False,0,,"WordPress",,,,,False,"US","134.209.31.27"
www.kutu66.com,"apache","5.2",,"2.1.4",False,0,,,,,,,False,"US","129.204.66.212"
foreplaycompany.com,"cloudflare",,,,True,"1  mode=block",,,,,,"DENY",False,"CA","23.227.38.65"
marrbaxx.by,"Bitrix24.Sites",,,"3.2.1",True,0,,,,,,,False,"RU","178.132.201.54"
www.magiclife.vip,,,,,True,0,,,,,,,False,"TW","60.198.140.75"
www.mecinhome.com,"apache",,,,False,0,,"WordPress","5.2.6",,,,False,"US","162.241.252.146"
ivsph.ru,"nginx","1.15.8","Gentoo Linux","1.12.3",True,0,,,,"PHP","5.3.29-pl0-gentoo",,False,"RU","77.222.57.241"
nexting.com,"nginx","1.17.6",,,False,0,,"WordPress",,,,,False,"US","162.241.226.37"
www.placerouge.co.uk,"nginx",,,"1.11.3",False,0,,"WordPress",,"WP Engine",,,False,"US","35.197.255.184"
www.imdle.org,"nginx",,,,False,"1  mode=block",,"WordPress","5.3.3",,,"SAMEORIGIN",False,"FR","91.121.239.130"
www.implantfiyatlari.tv,"apache",,,,False,0,,"WordPress","5.3.3",,,,False,,"185.255.154.185"
mycat-life.com,"nginx",,,,False,"1  mode=block",,"WordPress","5.2.6",,,,False,"DE","136.243.18.154"
www.razor-labs.com,"apache","6.6.6",,"1.12.4",False,0,,"WordPress","4.9.14",,,,False,"IL","212.150.101.187"
avtostil.su,"it1",,,"3.3.1",True,0,,,,,,,False,"DK","217.61.60.110"
ascendedmasteranswers.com,"apache","",,,False,0,,"Joomla",,,,,False,"EE","217.146.69.30"
cirkevnimajetek.cz,"apache",,,,False,0,,,,,,,False,"CZ","91.207.189.100"
priyainfosys.com,"litespeed",,,,False,0,,,,"PleskLin",,,False,,"103.108.220.126"
avinos-wein.de,"apache",,,,False,0,,,,,,,False,"DE","80.237.132.195"
humanistics.asia,"nginx",,,,False,0,,,,,,,False,"RO","77.104.167.83"
khialart.com,"litespeed",,,,False,0,,"WordPress",,"PHP","7.0.33",,False,,"185.216.33.122"
a1.design,"microsoft-IIS","10.0",,,False,0,,,,"ASP.NET",,,False,"IR","130.185.73.144"
stuffseniorsneed.com,"apache",,,,False,0,,"WordPress",,"PHP","7.2.29",,False,"US","74.208.142.122"
ecospace.com,"nginx",,,"3.0.5.1",False,0,,"WordPress","5.4.1",,,,False,"US","35.209.103.243"
www.gofitness.store,"cloudflare",,,"1.11.0",True,"1  mode=block","max-age=7889238","Shopify",,,,"DENY",False,"CA","23.227.38.64"
www.southpointrisk.com,"apache",,,,False,0,,"WordPress","5.3.3",,,,False,"US","67.20.70.138"
anasermakina.com,"microsoft-IIS","8.5",,,False,0,,,,"ASP.NET",,,False,"GB","91.186.0.10"
jpchapuis.net,"apache",,,,False,0,,,,,,,False,"FR","213.186.33.87"
www.riptorment.com,"nginx",,,,False,0,,,,,,,False,,"154.196.226.130"
www.vicniss.org.au,,,,,False,"1  mode=block","max-age=10886400; preload",,,,,"sameorigin",False,"AU","203.2.80.172"
gelinceramic.ir,"litespeed",,,,False,0,,"WordPress","5.4.1",,,,False,"GB","51.158.23.31"
www.monka.com.pl,,,,,True,0,,"Wix",,,,,False,"US","23.236.62.147"
gujaratbuzz.com,"cloudflare",,,,True,0,,"WordPress",,"PHP","7.3.3",,False,"US","104.18.63.152"
www.weeklymarketingwebinars.org?m=,"cloudflare",,,"1.10.2",True,0,,,,,,,False,"US","104.31.79.80"
toxbux.com,"nginx","1.16.0",,"1.11.3",False,0,,,,,,,False,"RU","195.201.179.80"
soka.ed.jp,"nginx",,,,False,"1  mode=block",,"WordPress",,,,"SAMEORIGIN",False,"US","99.86.157.61"
salihayacoub.com,"apache",,,,False,0,,,,"PleskLin",,,False,"CA","67.215.11.163"
1outlets.com,"cloudflare",,,,True,"1  mode=block",,,,,,"SAMEORIGIN, SAMEORIGIN",False,"US","104.22.9.214"
www.mobileplusprice.com,"cloudflare",,,,True,0,,"WordPress","5.4.1",,,,False,"US","104.24.102.236"
ergonomia.co.hu,"apache","2.4.6",,"1.12.4",False,0,,"WordPress","4.9.14","PHP","7.0.27",,False,"HU","217.113.63.132"
www.france-turquoise.com,"o2switch-PowerBoost-v3",,,,False,0,,"WordPress",,,,,False,"FR","109.234.162.153"
my-roku-login.com,"ddos-guard",,,,True,0,,"WordPress","5.3.3",,,,False,"BZ","190.115.26.62"
doseofporn.com,"nginx",,,"1.12.4",False,0,,,,"PHP","7.3.16, PleskLin",,False,"IT","193.70.90.46"
www.zwitsal.co.id,"apache",,,"3.2.1",True,0,,,,,,"DENY",False,"US","104.83.113.82"
test24.shop,"nginx","1.14.1",,,False,0,,,,,,,False,"DK","80.211.62.245"
rayetmisr.com,"litespeed",,,,False,0,,"WordPress","5.4.1","PHP","7.3.16",,False,"UA","2.57.89.78"
redonkmarketing.com,"nginx","1.16.1",,"1.10.1",False,0,,,,"PHP","5.6.21",,False,"US","72.47.224.146"
www.dk-hostmaster.dk,"apache",,,,False,0,"max-age=63072000; includeSubDomains","Drupal","8","PHP","7.2.19","SAMEORIGIN",False,"FR","217.70.186.102"
duhocnghe.net.vn,"nginx",,,"6.8.4",False,0,,"WordPress","5.4.1",,,,False,"VN","210.2.86.81"
kaisartoto88.me,"apache",,,,False,0,,,,"PHP","7.2.30",,False,"US","198.54.126.46"
gratapizza.com,"apache",,,,False,0,,"WordPress","5.3.3",,,,False,"US","162.241.169.33"
ebiyun.com,"microsoft-IIS","7.5",,"1.11.1",False,0,,,,"ASP.NET",,,False,,"154.193.104.45"
squishycircuits.com,"cloudflare",,,"1.11.0",True,"1  mode=block","max-age=7889238","Shopify",,,,"DENY",False,"CA","23.227.38.32"
www.unlockmax.com,"nginx",,,,True,0,,,,"PHP","5.6.38",,False,"US","173.82.168.68"
market-onlain.ru,"nginx",,,"3.4.1",False,0,,"WordPress",,"PHP","7.3.15",,False,"RU","31.31.196.193"
www.bocvip.com,"nginx",,,,False,0,"max-age=31536000; includeSubdomains; preload","WordPress","5.4.1",,,"sameorigin",False,"US","23.239.9.12"
www.heypack.com,"cloudflare",,,"1.7.1",True,0,,,,"xorder",,,False,"US","104.18.41.150"
chinaparadigm.com,"nginx",,,,False,0,,"WordPress",,"WP Engine",,,False,"US","104.155.59.72"
daddogroup.com,"apache",,,,False,0,,,,,,,False,"US","50.116.84.76"
coolbootsmedia.com,"apache","2.4.6","CentOS","1.12.4",False,0,,,,,,,False,"IN","182.18.167.14"
charmpopcards.com,"nginx",,,"1.12.4",False,0,"max-age=31536000","WordPress","5.0.9",,,,False,"US","198.143.141.35"
www.encantadordeperros.es,"apache","2.4.25","Debian Linux",,False,0,,"WordPress","5.4.1",,,,False,"FR","62.210.93.139"
www.patientendossier.ch,"apache","2.4.29","Ubuntu Linux",,False,0,,"Drupal","8",,,"SAMEORIGIN",False,"US","159.69.83.77"
www.nzhgpa.org.nz,"GSE",,,,False,"1  mode=block",,,,,,"SAMEORIGIN",False,"US","216.58.198.51"
www.eprestononline.co.uk,"cloudflare",,,"1.9.1",True,0,,,,,,,False,"US","104.26.14.122"
ondo24.com,"microsoft-IIS","9.0",,"1.4",False,0,,,,,,,False,"KR","112.175.232.161"
drdot.ru,"nginx","1.16.1",,"1.12.4",False,0,,"WordPress","4.5.21",,,,False,"NL","95.211.151.66"
www.alvarion.com,"apache","2.2.31","Unix",,False,0,,"WordPress","5.3.3","PHP","5.6.26",,False,"US","192.232.255.14"
pzrbjl.ga,"nginx",,,,False,0,,,,,,,False,"US","23.245.145.4"
northern-fells.com,"nginx",,,,False,0,,,,,,,False,"CA","23.227.38.32"
www.iomechs.com,"nginx","1.14.0","Ubuntu Linux",,False,0,,,,,,,False,"GB","167.172.8.127"
www.web-surf.de,"nginx",,,,False,0,,,,,,,False,"GB","88.99.113.60"
trend-signal.com,"nginx",,,"1.11.3",False,0,,,,"PHP","7.2.30, PleskLin",,False,"GB","217.199.160.62"
educacionfisica30.com,"apache",,,,False,0,,,,,,,False,"DE","217.160.0.213"
www.iloveliquor.com,"Pepyaka","1.15.10",,,True,0,,"Wix",,,,,False,"US","35.246.6.109"
acadcare.com,"nginx","1.10.3","Ubuntu Linux","3.4.1",False,0,,,,,,,False,"US","3.94.168.163"
jamesholden.org,"apache",,,"1.7",False,0,,"WordPress",,,,,False,"US","66.39.60.154"
www.freedomobile.com,"apache",,,,True,"1  mode=block",,,,,,"*",False,"US","3.94.148.45"
rolmax.ru,"nginx","1.8.0",,"1.12.4",False,0,,"WordPress","4.8.13","PHP","5.5.38",,False,"RU","188.94.91.129"
perevody-pesen.ru,"nginx","1.6.2",,,False,0,,,,,,,False,"NL","139.162.173.27"
www.gavox.com,,,,"1.8.2",True,0,,"WordPress",,,,,False,"FR","213.186.33.107"
americantabletennis.com,"cloudflare",,,"1.11.0",True,"1  mode=block","max-age=7889238","Shopify",,,,"DENY",False,"CA","23.227.38.32"
www.paperthin.com,"apache","2.4.41",,"1.12",True,0,,,,,,"SAMEORIGIN",True,"US","34.231.144.72"
listenlearnmusic.com,"apache",,,,False,0,,"WordPress",,"PHP","7.4.2",,False,"US","107.180.12.114"
forex-signals.club,"cloudflare",,,,True,0,,,,,,,False,"US","104.18.54.163"
chehov-anton.ru,"nginx","1.8.0",,,False,0,,,,"PHP","5.4.45-0+deb7u2",,False,"RU","5.101.124.158"
backaldrin.cz,"microsoft-IIS","8.5",,,False,0,,,,"ASP.NET",,,False,"CZ","194.213.222.70"
altacalidad.com.co,"apache",,,"1.12.4",False,0,,"WordPress","4.9.14",,,,False,"US","192.185.193.37"
www.iamrudyfrancisco.com,"Pepyaka","1.15.10",,,True,0,,"Wix",,,,,False,"US","35.246.6.109"
